编导填写,,,,,剪辑填写,,,,编导填写,,,,,,
日期,表达卖点,文案内容,对应视频画面需求,编导,是否采用,短视频ID,剪辑人,上传日期,3天平均展现次数,3天整体点击率,3天合计销售额,7天平均展现次数,7天整体点击率,7天合计销售额,15天合计销售额
,充电,Type-C满电单次续航大半个月，短途旅行、出差携带无负担。,充电口展示通电电量显示ycc1931  +  机身展示\保护盒打开关闭展示机身ycc2039,,,,,,,,,,,,
,结尾,刚好需要换剃须刀的兄弟，可以进直播间了解一下。,剃完展示\上脸再展示ycc1833,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,市面上很多剃须刀通体塑料材质，拿在手里轻飘飘。,没剃的胡子\竞品卡胡子ycc1591,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max机身高温烤漆成型，表层细腻哑光质感，日常使用不易残留指纹，摆放台面也很精致。,机身展示\机身扫光ycc1970  +  机身展示\手持机身ycc1555  +  12.20  S5…机身展示\银色\有其他动作 摩挲 + 拿出画（倒放）,,,,,,,,,,,,
,功能,硬件配置全面，浮动五刀头贴合脸型，自磨刀头耐用性高，电子屏实时看电量。,12.20  S5…机身展示\银色\有其他动作 翻转  +  刀网\刀网贴手腕ycc2017+  12.20  S5…刀网展示\银色M3610  +  充电口…ycc1932,,,,,,,,,,,,
,结尾,想换个有质感剃须刀的，直播间有详细介绍。,机身展示\车上机身入画ycc1995  +  礼盒及赠品展示\纯展示ycc2037,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,剃须到一半机器没电停机，卡在脸上进退两难，是很多男士都经历过的尴尬场面。,没剃的胡子\竞品卡胡子ycc1597,张可熠,,,,,,,,,,,
,充电,上谷S5Max搭载高清电子屏，剩余电量一目了然，提前规划充电时机。,12.20  S5\产品\机身充电口转子刀网\机身展示\两个颜色一起展示 斜角3  +  充电口展示通电电量显示ycc1931,,,,,,,,,,,,
,动力+剃须效果,浮动五刀头，搭配39000次/分钟高转速转子，轻松搞定剃须难题。,刀网\按动刀网ycc2015  +  转子展示ycc1975  +  剃一道\特写ycc1671,,,,,,,,,,,,
,结尾,想告别这种尴尬场面的兄弟，可以去直播间看一看。,礼盒及赠品展示\从人到礼盒产品赠品展示ycc1956,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,络腮胡、粗硬硬质胡须人群，有些剃须刀转速不足，很难一次剃净，还容易引起皮肤不适。,没剃的胡子\照镜子全脸摸ycc1585  +  没剃的胡子\特写摸ycc1545  +  没剃的胡子\竞品卡胡子ycc1590,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max针对粗硬胡须新升级，,机身展示\转台旋转展示机身ycc2062,,,,,,,,,,,,
,动力,合金转子稳定输出39000次/分动力，,转子展示ycc1975,,,,,,,,,,,,
,刀头+剃须效果,4+1浮动刀头大面积贴合肌肤，镀钛自磨刀头切断硬胡茬更利落。,刀网\刀网贴手腕ycc2018  +  剃半脸ycc1602,,,,,,,,,,,,
,结尾,现在直播间有活动，经常为刮不干净胡子发愁的兄弟可以看一看。,礼盒及赠品展示\从人到礼盒产品赠品展示ycc1939,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,对产品做工、细节质感有高要求的男士，这款上谷S5Max值得看一看。,礼盒\礼盒上推ycc1901  +  礼盒\礼盒开盖ycc1924,张可熠,,,,,,,,,,,
,外观机身,整机高温烤漆细腻均匀，摆放在洗漱台上也能当摆件。,机身展示\手持机身ycc1553  +  12.20  S5\产品\机身充电口转子刀网\机身展示\黑色\有其他动作 拿出画,,,,,,,,,,,,
,功能,4+1浮动镀钛刀头贴合肌肤顺滑舒适，电子屏实时显示电量，旅行锁方便外出收纳，日常使用更省心。,剃半脸ycc1602  +  12.20  S5\产品\机身充…\机身展示\黑色\有其他动作 按开关  +  机身展示\保护盒…ycc2040,,,,,,,,,,,,
,结尾,现在进直播间还有专属好礼在等你。,礼盒及赠品展示\纯展示ycc2065,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,洗漱洗澡同步修整胡须，轻松省下早上的时间，,剃一道\全脸ycc1622,张可熠,,,,,,,,,,,
,七级防水,上谷S5Max支持全身水洗，干湿两种使用场景都适配，平整机身不易藏污纳垢，清水一冲轻松带走胡屑。,防水效果\丢进玻璃缸ycc2070  +  防水效果\直接冲水ycc2009,,,,,,,,,,,,
,动力,39000次/分稳定动力，顺畅剃须不伤肤，,12.20  S5\产品\机身充电口转子刀网\转子展示\银色M3609  +  剃一道\特写ycc1631,,,,,,,,,,,,
,充电,Type-C充电续航大半个月，提升晨间洗漱幸福感。,充电口展示通电电量显示ycc1931,,,,,,,,,,,,
,结尾,进直播间了解更多细节。,礼盒及赠品展示\纯展示ycc2065,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月7日,开头,剃须刀老卡须、扯皮又费时？大多是刀头损耗或动力跟不上造成的。,没剃的胡子\竞品卡胡子ycc1597,张可熠,,,,,,,,,,,
,动力,上谷S5Max升级了合金转子，39000次/分钟的高频转速，,剃完展示\有推拉ycc1838  +  12.20  S5\产品\机身充电口转子刀网\刀网展示\黑色 刀网+转子  +  转子展示ycc1975,,,,,,,,,,,,
,剃须效果,胡茬一碰到刀网就被利落切断，大幅减少拉扯感。,剃一道\特写ycc1611  +  剃一道\全脸ycc1609,,,,,,,,,,,,
,刀头,刀头采用镀钛工艺，边用边自研磨，持久保持顺畅。,12.20  S5\产品\机身充电口转子刀网\刀网展示\黑色 手摸刀网  +  刀网\刀网贴手腕ycc2017,,,,,,,,,,,,
,外观机身,机身自带智能数显屏，剩余电量一目了然。,产品拿出拔盖正反展示ycc1930,,,,,,,,,,,,
,结尾,现在进直播间，专属福利价只等你来。,礼盒及赠品展示\纯展示ycc2064,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月7日,开头,商务洽谈、线下会面，下颌残留的胡根容易拉低专业印象。随身备一台上谷S5Max，随时整理仪容。,没剃的胡子\照镜子全脸摸ycc1585  +  没剃的胡子\特写摸ycc1545  +  剃完展示\上脸再展示ycc1832,张可熠,,,,,,,,,,,
,刀头,4+1浮动五刀头灵活贴合边角，剃完肌肤清爽顺滑。,刀网\按动刀网ycc2014  +  剃一道\特写ycc1760,,,,,,,,,,,,
,外观机身,高温烤漆机身，质感出众，拿出来尽显质感。,机身展示\机身扫光ycc1970  +  机身展示\车上机身入画ycc1995,,,,,,,,,,,,
,充电,自带旅行锁，搭配大容量电池，一台轻松应对差旅需求。,12.20  S5\产品\机身充电口转子刀网\机身展示\黑色\有其他动作 抛接  +  机身展示\保护盒打开关闭展示机身ycc2040,,,,,,,,,,,,
,结尾,现在还送旅行收纳包，直播间下单有专属福利。,礼盒及赠品展示\从人到礼盒产品赠品展示ycc1943,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月7日,开头,想要剃须效率高、打理省心、不用老惦记充电？上谷S5Max轻松搞定。,,张可熠,,,,,,,,,,,
,动力,39000次/分钟合金转子，利落清扫各类胡茬，不留残余。,,,,,,,,,,,,,
,七级防水,平整机身支持全身水洗，用完对着水流冲几秒就干净。,,,,,,,,,,,,,
,充电,Type-C快充，满电续航能用大半个月，,,,,,,,,,,,,,
,刀头,搭配长效自磨刀头，配件不用频繁更换，省事又省心。,,,,,,,,,,,,,
,结尾,今天直播间刚好有专属活动，省心又好用。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月7日,开头,还在用笨重老旧的老式剃须刀？剃不净、难清理，不如直接换一台上谷S5Max，硬件配置全面升级。,,张可熠,,,,,,,,,,,
,刀头,4+1浮动五刀头、长效镀钛自磨刀头、,,,,,,,,,,,,,
,动力,39000次稳定高转速，核心配置都安排上了。,,,,,,,,,,,,,
,七级防水+充电,整机支持水洗，清洁很方便，高清电子屏随时显示剩余电量，用着心里有数。,,,,,,,,,,,,,
,结尾,有换新计划的兄弟，现在直播间福利等你来领。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月7日,开头,刷到这条视频的朋友，可以看看这款人气剃须刀。上谷S5Max综合配置均衡，适合大多数男士的需求。,,张可熠,,,,,,,,,,,
,剃须效果,4+1浮动五刀头，自适应脸部轮廓，减少清理盲区；,,,,,,,,,,,,,
,动力,39000次/分钟合金转子，浓密硬胡茬也能轻松应对；,,,,,,,,,,,,,
,七级防水,平整机身，水洗打理很方便。 ,,,,,,,,,,,,,
,结尾,直播间人气款现在有专属活动，快来看看。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月7日,开头,见客户前发现胡子没刮？别慌！上谷S5Max随时待命。,,张可熠,,,,,,,,,,,
,充电,旅行锁防误触，Type-C快充随时补电，高清屏电量一目了然。,,,,,,,,,,,,,
,刀头,39000次/分钟合金转子配合浮动五刀头，快速刮净下巴，剃须更舒适。,,,,,,,,,,,,,
,七级防水,刀片刀网一体嵌入更耐用，全机防水轻松冲净，烤漆机身不易留指纹。,,,,,,,,,,,,,
,结尾,应急好帮手，感兴趣的朋友可以进直播间看看。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月7日,开头,几百元竟然能有这种配置？上谷S5Max，,,张可熠,,,,,,,,,,,
,动力,39000次/分钟升级合金转子，动力强劲。,,,,,,,,,,,,,
,刀头,镀钛自磨刀头，持久保持顺畅，刀片刀网一体嵌入，耐用度拉满。,,,,,,,,,,,,,
,七级防水,平整机身全机水洗，冲一冲就干净；,,,,,,,,,,,,,
,充电,Type-C快充配大容量电池，出差不用多带充电器。,,,,,,,,,,,,,
,外观机身,高温烤漆工艺防指纹，自带旅行锁防误触。,,,,,,,,,,,,,
,结尾,配置全面且实用，今天直播间有专属福利，感兴趣的朋友可以来看看。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月7日,开头,不想被另一半嫌弃胡子拉碴，试试一台上谷S5Max。,,张可熠,,,,,,,,,,,
,剃须效果,浮动五刀头深层贴合面部轮廓，从根部切断硬胡茬，刮完洁净舒适。,,,,,,,,,,,,,
,刀头,镀钛自磨刀头久用依旧顺畅，不拉扯皮肤。,,,,,,,,,,,,,
,外观机身,高温烤漆细腻不留指纹，质感出众。,,,,,,,,,,,,,
,充电,Type-C快充续航大半个月，电子屏显示电量，全机防水好冲洗。,,,,,,,,,,,,,
,结尾,今天直播间有超值活动，感兴趣的朋友可以来了解一下。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月7日,开头,剃须最怕刮到一半没电！上谷S5Max高清电子屏实时显示电量，心里有底。,,张可熠,,,,,,,,,,,
,充电,Type-C快充，加上大容量电池，满足长期出差需求。,,,,,,,,,,,,,
,动力,39000次/分钟合金转子快速利落，硬胡茬轻松拿下。,,,,,,,,,,,,,
,刀头,4+1浮动五刀头贴合面部，刀片刀网一体嵌入更耐用，全机防水一冲就干净。,,,,,,,,,,,,,
,结尾,告别电量焦虑，感兴趣的朋友，现在直播间下单还有福利。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月7日,开头,边洗澡边剃须有多爽？,,张可熠,,,,,,,,,,,
,七级防水,上谷S5Max平板面设计，全机防水，淋浴时顺手刮，水龙头下一冲就干净。,,,,,,,,,,,,,
,剃须效果,镀钛自磨刀头持久保持顺畅，减少拉扯感，温和不刺激。,,,,,,,,,,,,,
,动力,39000次/分钟合金转子动力足，4+1浮动五刀头紧密贴合脸部。,,,,,,,,,,,,,
,充电,Type-C快充续航大半个月，高温烤漆不留指纹。,,,,,,,,,,,,,
,结尾,淋浴剃须两不误，现在直播间还有专属好礼在等你。,,,,,,,,,,,,,
